qid,url,version,change type
16739654,http://stackoverflow.com/posts/16739654/revisions,2,-1
,,3,-1
8142152,http://stackoverflow.com/posts/8142152/revisions,2,-1
5070158,http://stackoverflow.com/posts/5070158/revisions,2,-1
,,3,-1
15258960,http://stackoverflow.com/posts/15258960/revisions,2,-1
,,3,-1
10249554,http://stackoverflow.com/posts/10249554/revisions,2,-1
,,3,-1
,,4,-1
14894421,http://stackoverflow.com/posts/14894421/revisions,2,-1
15458191,http://stackoverflow.com/posts/15458191/revisions,2,-1
,,3,-1
7607866,http://stackoverflow.com/posts/7607866/revisions,2,-1
6432098,http://stackoverflow.com/posts/6432098/revisions,2,-1
5263931,http://stackoverflow.com/posts/5263931/revisions,2,-1
15166822,http://stackoverflow.com/posts/15166822/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
16127338,http://stackoverflow.com/posts/16127338/revisions,2,-1
,,3,-1
,,4,-1
3347819,http://stackoverflow.com/posts/3347819/revisions,2,-1
,,3,-1
,,4,-1
10892653,http://stackoverflow.com/posts/10892653/revisions,2,-1
,,3,-1
10859069,http://stackoverflow.com/posts/10859069/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
,,8,-1
,,9,-1
,,10,-1
,,11,-1
,,12,-1
,,13,-1
,,14,-1
1357169,http://stackoverflow.com/posts/1357169/revisions,2,-1
,,3,-1
3157907,http://stackoverflow.com/posts/3157907/revisions,2,-1
,,3,-1
14034292,http://stackoverflow.com/posts/14034292/revisions,2,-1
,,3,-1
4856382,http://stackoverflow.com/posts/4856382/revisions,2,-1
10157432,http://stackoverflow.com/posts/10157432/revisions,2,-1
,,3,-1
16058943,http://stackoverflow.com/posts/16058943/revisions,2,-1
,,3,-1
5213979,http://stackoverflow.com/posts/5213979/revisions,2,-1
,,3,-1
5115261,http://stackoverflow.com/posts/5115261/revisions,2,-1
,,3,-1
9402475,http://stackoverflow.com/posts/9402475/revisions,2,-1
,,3,-1
,,4,-1
2862464,http://stackoverflow.com/posts/2862464/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
15390081,http://stackoverflow.com/posts/15390081/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
8711062,http://stackoverflow.com/posts/8711062/revisions,2,-1
,,3,-1
13602279,http://stackoverflow.com/posts/13602279/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
5422472,http://stackoverflow.com/posts/5422472/revisions,2,-1
,,3,-1
,,4,-1
8468716,http://stackoverflow.com/posts/8468716/revisions,2,-1
,,3,-1
10472844,http://stackoverflow.com/posts/10472844/revisions,2,-1
,,3,-1
15251010,http://stackoverflow.com/posts/15251010/revisions,2,-1
,,3,-1
,,4,-1
8707470,http://stackoverflow.com/posts/8707470/revisions,2,-1
,,3,-1
6735184,http://stackoverflow.com/posts/6735184/revisions,2,-1
15342700,http://stackoverflow.com/posts/15342700/revisions,2,-1
10524050,http://stackoverflow.com/posts/10524050/revisions,2,-1
,,3,-1
,,4,-1
13568579,http://stackoverflow.com/posts/13568579/revisions,2,-1
,,3,-1
,,4,-1
11613589,http://stackoverflow.com/posts/11613589/revisions,2,-1
,,3,-1
,,4,-1
12395926,http://stackoverflow.com/posts/12395926/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
5844375,http://stackoverflow.com/posts/5844375/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
,,8,-1
15244697,http://stackoverflow.com/posts/15244697/revisions,2,-1
,,3,-1
16271934,http://stackoverflow.com/posts/16271934/revisions,2,-1
6164037,http://stackoverflow.com/posts/6164037/revisions,2,-1
5393824,http://stackoverflow.com/posts/5393824/revisions,2,-1
11619748,http://stackoverflow.com/posts/11619748/revisions,2,-1
14185893,http://stackoverflow.com/posts/14185893/revisions,2,-1
,,3,-1
16246187,http://stackoverflow.com/posts/16246187/revisions,2,-1
,,3,-1
16663794,http://stackoverflow.com/posts/16663794/revisions,2,-1
17892285,http://stackoverflow.com/posts/17892285/revisions,2,-1
,,3,-1
2008496,http://stackoverflow.com/posts/2008496/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
16344497,http://stackoverflow.com/posts/16344497/revisions,2,-1
,,3,-1
,,4,-1
14144947,http://stackoverflow.com/posts/14144947/revisions,2,-1
,,3,-1
16326068,http://stackoverflow.com/posts/16326068/revisions,2,-1
,,3,-1
,,4,-1
10532277,http://stackoverflow.com/posts/10532277/revisions,2,-1
,,3,-1
,,4,-1
10712503,http://stackoverflow.com/posts/10712503/revisions,2,-1
,,3,-1
16291256,http://stackoverflow.com/posts/16291256/revisions,2,-1
16270777,http://stackoverflow.com/posts/16270777/revisions,2,-1
,,3,-1
,,4,-1
7685563,http://stackoverflow.com/posts/7685563/revisions,2,-1
13790653,http://stackoverflow.com/posts/13790653/revisions,2,-1
11253664,http://stackoverflow.com/posts/11253664/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
14892482,http://stackoverflow.com/posts/14892482/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
10961483,http://stackoverflow.com/posts/10961483/revisions,2,-1
12211652,http://stackoverflow.com/posts/12211652/revisions,2,-1
,,3,-1
,,4,-1
14716258,http://stackoverflow.com/posts/14716258/revisions,2,-1
,,3,-1
,,4,-1
11515335,http://stackoverflow.com/posts/11515335/revisions,2,-1
,,3,-1
8871368,http://stackoverflow.com/posts/8871368/revisions,2,-1
13551049,http://stackoverflow.com/posts/13551049/revisions,2,-1
,,3,-1
,,4,-1
3435978,http://stackoverflow.com/posts/3435978/revisions,2,-1
,,3,-1
14480845,http://stackoverflow.com/posts/14480845/revisions,2,-1
,,3,-1
14187983,http://stackoverflow.com/posts/14187983/revisions,2,-1
,,3,-1
4210131,http://stackoverflow.com/posts/4210131/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
5821912,http://stackoverflow.com/posts/5821912/revisions,2,-1
,,3,-1
,,4,-1
6833625,http://stackoverflow.com/posts/6833625/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
8482268,http://stackoverflow.com/posts/8482268/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
7806431,http://stackoverflow.com/posts/7806431/revisions,2,-1
,,3,-1
,,4,-1
5606883,http://stackoverflow.com/posts/5606883/revisions,2,-1
,,3,-1
12156388,http://stackoverflow.com/posts/12156388/revisions,2,-1
16806277,http://stackoverflow.com/posts/16806277/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
5171793,http://stackoverflow.com/posts/5171793/revisions,2,-1
,,3,-1
10263804,http://stackoverflow.com/posts/10263804/revisions,2,-1
,,3,-1
8054250,http://stackoverflow.com/posts/8054250/revisions,2,-1
6010349,http://stackoverflow.com/posts/6010349/revisions,2,-1
16678383,http://stackoverflow.com/posts/16678383/revisions,2,-1
,,3,-1
8052208,http://stackoverflow.com/posts/8052208/revisions,2,-1
14192113,http://stackoverflow.com/posts/14192113/revisions,2,-1
15541747,http://stackoverflow.com/posts/15541747/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
7370382,http://stackoverflow.com/posts/7370382/revisions,2,-1
,,3,-1
,,4,-1
3542519,http://stackoverflow.com/posts/3542519/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
,,8,-1
865785,http://stackoverflow.com/posts/865785/revisions,2,-1
6878714,http://stackoverflow.com/posts/6878714/revisions,2,-1
15097341,http://stackoverflow.com/posts/15097341/revisions,2,-1
17926741,http://stackoverflow.com/posts/17926741/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
10749440,http://stackoverflow.com/posts/10749440/revisions,2,-1
6690305,http://stackoverflow.com/posts/6690305/revisions,2,-1
,,3,-1
5615110,http://stackoverflow.com/posts/5615110/revisions,2,-1
,,3,-1
,,4,-1
11781640,http://stackoverflow.com/posts/11781640/revisions,2,-1
14843820,http://stackoverflow.com/posts/14843820/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
17683984,http://stackoverflow.com/posts/17683984/revisions,2,-1
,,3,-1
,,4,-1
12163765,http://stackoverflow.com/posts/12163765/revisions,2,-1
17925650,http://stackoverflow.com/posts/17925650/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
12594709,http://stackoverflow.com/posts/12594709/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
2147862,http://stackoverflow.com/posts/2147862/revisions,2,-1
,,3,-1
,,4,-1
15285783,http://stackoverflow.com/posts/15285783/revisions,2,-1
,,3,-1
13514266,http://stackoverflow.com/posts/13514266/revisions,2,-1
13235739,http://stackoverflow.com/posts/13235739/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
,,8,-1
,,9,-1
,,10,-1
,,11,-1
13522460,http://stackoverflow.com/posts/13522460/revisions,2,-1
,,3,-1
,,4,-1
16688673,http://stackoverflow.com/posts/16688673/revisions,2,-1
,,3,-1
,,4,-1
8338980,http://stackoverflow.com/posts/8338980/revisions,2,-1
,,3,-1
,,4,-1
9625125,http://stackoverflow.com/posts/9625125/revisions,2,-1
8545831,http://stackoverflow.com/posts/8545831/revisions,2,-1
,,3,-1
15707688,http://stackoverflow.com/posts/15707688/revisions,2,-1
,,3,-1
16703068,http://stackoverflow.com/posts/16703068/revisions,2,-1
,,3,-1
,,4,-1
7511594,http://stackoverflow.com/posts/7511594/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
17444395,http://stackoverflow.com/posts/17444395/revisions,2,-1
10808876,http://stackoverflow.com/posts/10808876/revisions,2,-1
,,3,-1
,,4,-1
13166127,http://stackoverflow.com/posts/13166127/revisions,2,-1
,,3,-1
15733349,http://stackoverflow.com/posts/15733349/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
10593841,http://stackoverflow.com/posts/10593841/revisions,2,-1
13762098,http://stackoverflow.com/posts/13762098/revisions,2,-1
,,3,-1
,,4,-1
17198644,http://stackoverflow.com/posts/17198644/revisions,2,-1
,,3,-1
,,4,-1
10038837,http://stackoverflow.com/posts/10038837/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
6172214,http://stackoverflow.com/posts/6172214/revisions,2,-1
,,3,-1
,,4,-1
15826487,http://stackoverflow.com/posts/15826487/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
14794296,http://stackoverflow.com/posts/14794296/revisions,2,-1
,,3,-1
3536441,http://stackoverflow.com/posts/3536441/revisions,2,-1
,,3,-1
16918074,http://stackoverflow.com/posts/16918074/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
,,8,-1
9895485,http://stackoverflow.com/posts/9895485/revisions,2,-1
,,3,-1
16802706,http://stackoverflow.com/posts/16802706/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
14316839,http://stackoverflow.com/posts/14316839/revisions,2,-1
,,3,-1
886338,http://stackoverflow.com/posts/886338/revisions,2,-1
,,3,-1
7310603,http://stackoverflow.com/posts/7310603/revisions,2,-1
16643652,http://stackoverflow.com/posts/16643652/revisions,2,-1
17235525,http://stackoverflow.com/posts/17235525/revisions,2,-1
,,3,-1
17174088,http://stackoverflow.com/posts/17174088/revisions,2,-1
,,3,-1
15582793,http://stackoverflow.com/posts/15582793/revisions,2,-1
3026506,http://stackoverflow.com/posts/3026506/revisions,2,-1
8052302,http://stackoverflow.com/posts/8052302/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
11927119,http://stackoverflow.com/posts/11927119/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
9004625,http://stackoverflow.com/posts/9004625/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
,,8,-1
11570771,http://stackoverflow.com/posts/11570771/revisions,2,-1
,,3,-1
6495829,http://stackoverflow.com/posts/6495829/revisions,2,-1
,,3,-1
,,4,-1
4914774,http://stackoverflow.com/posts/4914774/revisions,2,-1
,,3,-1
11417175,http://stackoverflow.com/posts/11417175/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
15965785,http://stackoverflow.com/posts/15965785/revisions,2,-1
,,3,-1
9420380,http://stackoverflow.com/posts/9420380/revisions,2,-1
9741242,http://stackoverflow.com/posts/9741242/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
11669087,http://stackoverflow.com/posts/11669087/revisions,2,-1
,,3,-1
9211490,http://stackoverflow.com/posts/9211490/revisions,2,-1
,,3,-1
,,4,-1
8218214,http://stackoverflow.com/posts/8218214/revisions,2,-1
,,3,-1
,,4,-1
12848748,http://stackoverflow.com/posts/12848748/revisions,2,-1
17504577,http://stackoverflow.com/posts/17504577/revisions,2,-1
,,3,-1
,,4,-1
8665021,http://stackoverflow.com/posts/8665021/revisions,2,-1
,,3,-1
951923,http://stackoverflow.com/posts/951923/revisions,2,-1
,,3,-1
,,4,-1
16608884,http://stackoverflow.com/posts/16608884/revisions,2,-1
,,3,-1
10094197,http://stackoverflow.com/posts/10094197/revisions,2,-1
,,3,-1
13716245,http://stackoverflow.com/posts/13716245/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
13459065,http://stackoverflow.com/posts/13459065/revisions,2,-1
,,3,-1
,,4,-1
5639803,http://stackoverflow.com/posts/5639803/revisions,2,-1
,,3,-1
,,4,-1
6880892,http://stackoverflow.com/posts/6880892/revisions,2,-1
,,3,-1
,,4,-1
4281983,http://stackoverflow.com/posts/4281983/revisions,2,-1
10266240,http://stackoverflow.com/posts/10266240/revisions,2,-1
,,3,-1
14423681,http://stackoverflow.com/posts/14423681/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
13592194,http://stackoverflow.com/posts/13592194/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
7061123,http://stackoverflow.com/posts/7061123/revisions,2,-1
,,3,-1
6080132,http://stackoverflow.com/posts/6080132/revisions,2,-1
,,3,-1
11673878,http://stackoverflow.com/posts/11673878/revisions,2,-1
,,3,-1
15036012,http://stackoverflow.com/posts/15036012/revisions,2,-1
11246871,http://stackoverflow.com/posts/11246871/revisions,2,-1
,,3,-1
1797773,http://stackoverflow.com/posts/1797773/revisions,2,-1
,,3,-1
8228494,http://stackoverflow.com/posts/8228494/revisions,2,-1
,,3,-1
,,4,-1
16043665,http://stackoverflow.com/posts/16043665/revisions,2,-1
,,3,-1
,,4,-1
14423698,http://stackoverflow.com/posts/14423698/revisions,2,-1
11722388,http://stackoverflow.com/posts/11722388/revisions,2,-1
,,3,-1
,,4,-1
11079319,http://stackoverflow.com/posts/11079319/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
7349913,http://stackoverflow.com/posts/7349913/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
8898202,http://stackoverflow.com/posts/8898202/revisions,2,-1
,,3,-1
3669615,http://stackoverflow.com/posts/3669615/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
3148512,http://stackoverflow.com/posts/3148512/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
2039454,http://stackoverflow.com/posts/2039454/revisions,2,-1
,,3,-1
7517855,http://stackoverflow.com/posts/7517855/revisions,2,-1
,,3,-1
3870538,http://stackoverflow.com/posts/3870538/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
10961481,http://stackoverflow.com/posts/10961481/revisions,2,-1
,,3,-1
2522793,http://stackoverflow.com/posts/2522793/revisions,2,-1
,,3,-1
,,4,-1
9336490,http://stackoverflow.com/posts/9336490/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
10852295,http://stackoverflow.com/posts/10852295/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
15423149,http://stackoverflow.com/posts/15423149/revisions,2,-1
,,3,-1
1640114,http://stackoverflow.com/posts/1640114/revisions,2,-1
12201655,http://stackoverflow.com/posts/12201655/revisions,2,-1
,,3,-1
9275065,http://stackoverflow.com/posts/9275065/revisions,2,-1
,,3,-1
,,4,-1
6082847,http://stackoverflow.com/posts/6082847/revisions,2,-1
,,3,-1
,,4,-1
14405578,http://stackoverflow.com/posts/14405578/revisions,2,-1
,,3,-1
,,4,-1
8732350,http://stackoverflow.com/posts/8732350/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
16176832,http://stackoverflow.com/posts/16176832/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
7831235,http://stackoverflow.com/posts/7831235/revisions,2,-1
,,3,-1
,,4,-1
13711044,http://stackoverflow.com/posts/13711044/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
,,8,-1
,,9,-1
17581767,http://stackoverflow.com/posts/17581767/revisions,2,-1
,,3,-1
3088074,http://stackoverflow.com/posts/3088074/revisions,2,-1
,,3,-1
7427791,http://stackoverflow.com/posts/7427791/revisions,2,-1
14085843,http://stackoverflow.com/posts/14085843/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
12347092,http://stackoverflow.com/posts/12347092/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
13133527,http://stackoverflow.com/posts/13133527/revisions,2,-1
11499812,http://stackoverflow.com/posts/11499812/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
16017117,http://stackoverflow.com/posts/16017117/revisions,2,-1
16447201,http://stackoverflow.com/posts/16447201/revisions,2,-1
,,3,-1
14341859,http://stackoverflow.com/posts/14341859/revisions,2,-1
,,3,-1
16989924,http://stackoverflow.com/posts/16989924/revisions,2,-1
,,3,-1
,,4,-1
7995112,http://stackoverflow.com/posts/7995112/revisions,2,-1
,,3,-1
,,4,-1
7874281,http://stackoverflow.com/posts/7874281/revisions,2,-1
13278955,http://stackoverflow.com/posts/13278955/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
3511179,http://stackoverflow.com/posts/3511179/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
14657490,http://stackoverflow.com/posts/14657490/revisions,2,-1
,,3,-1
8849134,http://stackoverflow.com/posts/8849134/revisions,2,-1
,,3,-1
10421306,http://stackoverflow.com/posts/10421306/revisions,2,-1
,,3,-1
,,4,-1
11464436,http://stackoverflow.com/posts/11464436/revisions,2,-1
15734520,http://stackoverflow.com/posts/15734520/revisions,2,-1
14987003,http://stackoverflow.com/posts/14987003/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
10624764,http://stackoverflow.com/posts/10624764/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
10907390,http://stackoverflow.com/posts/10907390/revisions,2,-1
,,3,-1
,,4,-1
3993345,http://stackoverflow.com/posts/3993345/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
,,8,-1
7967019,http://stackoverflow.com/posts/7967019/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
5625608,http://stackoverflow.com/posts/5625608/revisions,2,-1
,,3,-1
,,4,-1
7917321,http://stackoverflow.com/posts/7917321/revisions,2,-1
10940170,http://stackoverflow.com/posts/10940170/revisions,2,-1
,,3,-1
7638796,http://stackoverflow.com/posts/7638796/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
7304834,http://stackoverflow.com/posts/7304834/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
14006032,http://stackoverflow.com/posts/14006032/revisions,2,-1
,,3,-1
5963539,http://stackoverflow.com/posts/5963539/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
12582678,http://stackoverflow.com/posts/12582678/revisions,2,-1
,,3,-1
,,4,-1
14286917,http://stackoverflow.com/posts/14286917/revisions,2,-1
1275672,http://stackoverflow.com/posts/1275672/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
10453291,http://stackoverflow.com/posts/10453291/revisions,2,-1
12642075,http://stackoverflow.com/posts/12642075/revisions,2,-1
,,3,-1
,,4,-1
5662492,http://stackoverflow.com/posts/5662492/revisions,2,-1
11684826,http://stackoverflow.com/posts/11684826/revisions,2,-1
,,3,-1
7893712,http://stackoverflow.com/posts/7893712/revisions,2,-1
,,3,-1
17460869,http://stackoverflow.com/posts/17460869/revisions,2,-1
,,3,-1
,,4,-1
10170144,http://stackoverflow.com/posts/10170144/revisions,2,-1
,,3,-1
,,4,-1
8711969,http://stackoverflow.com/posts/8711969/revisions,2,-1
,,3,-1
,,4,-1
14198563,http://stackoverflow.com/posts/14198563/revisions,2,-1
,,3,-1
,,4,-1
14708516,http://stackoverflow.com/posts/14708516/revisions,2,-1
,,3,-1
,,4,-1
9486118,http://stackoverflow.com/posts/9486118/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
6485799,http://stackoverflow.com/posts/6485799/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
,,7,-1
,,8,-1
,,9,-1
15085352,http://stackoverflow.com/posts/15085352/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
16228140,http://stackoverflow.com/posts/16228140/revisions,2,-1
,,3,-1
10719022,http://stackoverflow.com/posts/10719022/revisions,2,-1
,,3,-1
,,4,-1
17665116,http://stackoverflow.com/posts/17665116/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
7972658,http://stackoverflow.com/posts/7972658/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
4949811,http://stackoverflow.com/posts/4949811/revisions,2,-1
,,3,-1
,,4,-1
13864758,http://stackoverflow.com/posts/13864758/revisions,2,-1
,,3,-1
,,4,-1
17108795,http://stackoverflow.com/posts/17108795/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
13156159,http://stackoverflow.com/posts/13156159/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
15730498,http://stackoverflow.com/posts/15730498/revisions,2,-1
,,3,-1
16324419,http://stackoverflow.com/posts/16324419/revisions,2,-1
,,3,-1
,,4,-1
221001,http://stackoverflow.com/posts/221001/revisions,2,-1
,,3,-1
,,4,-1
5873482,http://stackoverflow.com/posts/5873482/revisions,2,-1
,,3,-1
,,4,-1
,,5,-1
,,6,-1
7429964,http://stackoverflow.com/posts/7429964/revisions,2,-1
,,3,-1
,,4,-1
1083213,http://stackoverflow.com/posts/1083213/revisions,2,-1
,,3,-1
14866254,http://stackoverflow.com/posts/14866254/revisions,2,-1
,,3,-1
,,4,-1
13129357,http://stackoverflow.com/posts/13129357/revisions,2,-1
,,3,-1
,,4,-1
5105976,http://stackoverflow.com/posts/5105976/revisions,2,-1
